Year,Drought Count,Drought Cost,Drought Lower 75,Drought Upper 75,Drought Lower 90,Drought Upper 90,Drought Lower 95,Drought Upper 95,Flooding Count,Flooding Cost,Flooding Lower 75,Flooding Upper 75,Flooding Lower 90,Flooding Upper 90,Flooding Lower 95,Flooding Upper 95,Freeze Count,Freeze Cost,Freeze Lower 75,Freeze Upper 75,Freeze Lower 90,Freeze Upper 90,Freeze Lower 95,Freeze Upper 95,Severe Storm Count,Severe Storm Cost,Severe Storm Lower 75,Severe Storm Upper 75,Severe Storm Lower 90,Severe Storm Upper 90,Severe Storm Lower 95,Severe Storm Upper 95,Tropical Cyclone Count,Tropical Cyclone Cost,Tropical Cyclone Lower 75,Tropical Cyclone Upper 75,Tropical Cyclone Lower 90,Tropical Cyclone Upper 90,Tropical Cyclone Lower 95,Tropical Cyclone Upper 95,Wildfire Count,Wildfire Cost,Wildfire Lower 75,Wildfire Upper 75,Wildfire Lower 90,Wildfire Upper 90,Wildfire Lower 95,Wildfire Upper 95,Winter Storm Count,Winter Storm Cost,Winter Storm Lower 75,Winter Storm Upper 75,Winter Storm Lower 90,Winter Storm Upper 90,Winter Storm Lower 95,Winter Storm Upper 95
1/1/06,1,7.6,7.1,8.3,7,8.5,6.9,8.6,1,1.9,1.8,2.7,1.7,2.9,1.5,3,0,0,0,0,0,0,0,0,4,7.9,7.9,8.7,7.6,8.9,7.6,9.2,0,0,0,0,0,0,0,0,1,1.9,1.7,1.9,1.7,1.9,1.5,2,0,0,0,0,0,0,0,0
1/1/07,1,4.4,4.4,4.9,4.3,5,4.3,5,0,0,0,0,0,0,0,0,2,4.4,3.8,4.9,3.7,5.2,3.6,5.2,1,3.1,2.8,3.1,2.6,3.1,2.6,3.3,0,0,0,0,0,0,0,0,1,3.4,3.3,3.8,3.1,3.9,3.1,3.9,0,0,0,0,0,0,0,0
1/1/08,1,8.3,7.9,8.9,7.6,9.3,7.5,9.4,1,11.9,9.3,11.7,8.8,12.1,8.6,12.4,0,0,0,0,0,0,0,0,5,9.4,9.2,10.2,8.9,10.4,8.4,10.4,3,44.3,40.6,47.5,39.5,49.1,39,50.1,1,1.5,1.3,1.7,1.3,1.7,1.3,1.8,0,0,0,0,0,0,0,0
1/1/09,1,4.2,4,5,3.9,5.2,3.8,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.6,7.9,8.6,7.8,8.8,7.4,8.9,0,0,0,0,0,0,0,0,1,1.2,1.1,1.3,1.1,1.4,1,1.4,0,0,0,0,0,0,0,0
1/1/10,0,0,0,0,0,0,0,0,2,4.7,3.5,5,3.3,5.3,3.1,5.6,0,0,0,0,0,0,0,0,4,10.4,10,11.8,9.8,12.1,9.7,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/11,1,13.7,12.3,14,12,14.5,11.9,14.8,2,5.7,5.5,6.6,5.2,6.8,5,7,0,0,0,0,0,0,0,0,9,35.8,33.1,36.5,32.7,37.4,32.4,37.9,2,18.3,15.9,19.8,15.5,20.7,15.3,21.2,1,2.1,1.5,1.7,1.4,1.7,1.4,1.8,1,2,1.7,2.1,1.6,2.2,1.6,2.3
1/1/12,1,33.3,32.1,36,31.4,37,31,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18.1,16.6,18.7,16.2,19.1,16.2,19.4,2,75.3,62.5,82.4,59.2,86.8,57.3,89.3,1,1.9,1.9,2.1,1.9,2.2,1.8,2.2,0,0,0,0,0,0,0,0
1/1/13,1,11.4,10.8,12.4,10.5,12.8,10.2,13.1,2,2.8,2.5,3.5,2.3,3.7,2.3,3.8,0,0,0,0,0,0,0,0,6,10.7,9.9,11.1,9.8,11.3,9.7,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/14,1,4.3,4.4,5.7,4.2,6,4.1,6.3,1,1.1,1.1,1.3,0.9,1.3,0.9,1.3,0,0,0,0,0,0,0,0,5,11,10.2,11.2,10.1,11.5,10.1,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3,2.3,2.6,2.1,2.7,1.9,2.8
1/1/15,1,4.8,4.3,6.2,4.1,6.7,3.9,7,2,4.9,4,5,3.8,5.2,3.7,5.4,0,0,0,0,0,0,0,0,5,7.9,7.3,8.4,7.1,8.7,7,8.9,0,0,0,0,0,0,0,0,1,3.2,3,3.5,2.9,3.5,2.9,3.6,1,3.2,3.1,3.3,3,3.5,2.9,3.6
1/1/16,1,3.7,2.5,4,2.3,4.2,2.1,4.5,4,16.8,13.1,19.9,12.4,21,11.5,21.8,0,0,0,0,0,0,0,0,8,15.4,13.7,16,13.1,16.3,13,16.8,1,10.6,7.8,11.6,7.6,11.9,7.4,12.2,1,2.5,1.7,2.4,1.6,2.5,1.5,2.7,0,0,0,0,0,0,0,0
1/1/17,1,2.6,1.9,2.8,1.8,3,1.7,3.1,2,3.3,2.4,3.8,2.2,4,2.1,4.2,1,1,0.8,1.1,0.8,1.2,0.7,1.2,8,17.1,14.8,17.6,14.2,18.7,13.7,19.6,3,270.3,218.2,313.1,196.4,344.3,183.6,357,1,18.4,15.1,17.9,14.5,19.4,14.3,19.9,0,0,0,0,0,0,0,0
1/1/18,1,2.8,1.4,2.8,1.2,3,1,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8.2,7.2,9.1,6.9,9.7,6.9,10.3,1,22.5,14,20,12,25,10,30,1,2.2,1.6,1.9,1.5,2.1,1.4,2.2,2,3.3,2.8,3.6,2.6,3.8,2.5,4
